"Language	Tweet ID	Phrase	Metaphoric lemmas	COVID metaphor label	Comment";
"sl	1237733761745330179	pokvarjen èlovek	pokvarjen	n	not covid rel";
"sl	1237733761745330179	bivši fant frizerke		n	";
"sl	1237733761745330179	sosedove sestriène v petem kolenu		n	";
"sl	1237733761745330179	medicinskih sester		n	";
"sl	1237733761745330179	potrjeni okužbi		n	";
"sl	1237791497162051585	izbruhu virusa	izbruh	y	";
"sl	1237791497162051585	plaèane poèitnice		n	";
"sl	1237791497162051585	Sami šalabajzarji		n	";
"sl	1237791497162051585	ljudi na vesti		n	";
"sl	1237852820994310147	drugi val virusa	val	y	";
"sl	1237852820994310147	cenzura telefonov		n	";
"sl	1237852820994310147	resnice v svet		n	";
"sl	1237852820994310147	najveèja laž		n	";
"sl	1238144338431021057	orožje proti epidemiji	orožje	y	";
"sl	1238144338431021057	izogibanje stikom med ljudmi		n	";
"sl	1238836797293187072	boju proti koronavirusu	boj	y	";
"sl	1238885152497033217	izbruha koronavirusa	izbruh	y	";
"sl	1238885152497033217	Parlamentarni odbor za promet		n	";
"sl	1238885152497033217	predlog Komisije za ustavitev		n	";
"sl	1238885152497033217	praznih letov		n	";
"sl	1238885152497033217	Nastalo situacijo		n	";
"sl	1238910803304120321	porazu korone	poraz	y	";
"sl	1238910803304120321	hostarske ww2 debate	hostarski	n	not covid rel";
"sl	1238910803304120321	zadnjih tednih		n	";
"sl	1239085958693298176	izbruhom epidemije	izbruh	y	";
"sl	1239136252529725440	boja proti okužbi	boj	y	";
"sl	1239136252529725440	\\n Nestestiranja		*	";
"sl	1239136252529725440	zdravstvenim centrom		n	";
"sl	1239136252529725440	razširjenost okužbe	razširjenost	y	";
"sl	1239136252529725440	Odloèitev za netestiranje		n	";
"sl	1239136252529725440	lažno varnost		n	";
"sl	1239478089039699970	socialna bomba	bomba	y	";
"sl	1239517847522508804	težavo z virusom vdora	vdor	n	reverse metaphor";
"sl	1239517847522508804	kriznega štaba	štab	y	";
"sl	1239624345493876737	BORBO PROTI KORONAVIRUS	borba	y	";
"sl	1239624345493876737	UKRADEN DENAR IZ ZDRAVSTVA		n	";
"sl	1239624345493876737	JAVNEGA ZAUPANJA		n	";
"sl	1239624345493876737	SODNE OBRAVNAVE		n	";
"sl	1239624345493876737	KAZENSKEGA SANKCIONIRANJA		n	";
"sl	1239634818180222977	vojno s covid19	vojna	y	";
"sl	1239634818180222977	izbranih besed		n	";
"sl	1239634818180222977	resnost situacije na naèin		n	";
"sl	1239654417126903810	obrambo za cas po koncu epidemije	obramba	y	";
"sl	1239654417126903810	cloveske zrtve		*	";
"sl	1239936827974397953	izbruhom pandemije Covid19	izbruh	y	";
"sl	1239936827974397953	MKP leta		n	";
"sl	1239936827974397953	Slovenski narod		n	";
"sl	1239936827974397953	Slovenski narod		n	";
"sl	1239936827974397953	2milijona mask		n	";
"sl	1240265370260381696	izbruha koronavirusa	izbruh	y	";
"sl	1240265370260381696	zmanjševanje škodljivih posledic	zmanjševanje	*	";
"sl	1240265370260381696	slovenski turizem		n	";
"sl	1240333658562736130	izbruh epidemije	izbruh	y	";
"sl	1240333658562736130	celotna država na najveèji preizkušnji	preizkušnja	y	";
"sl	1240333658562736130	politiène propagande		n	";
"sl	1240333658562736130	kriznem štabu	štab	y	";
"sl	1240387212069539840	žrtev korona virusa	žrtev	y	";
"sl	1240387212069539840	življenje za gripo		n	";
"sl	1240387212069539840	klasièno pljuènico		n	";
"sl	1240548826265632768	biološkega orožja Wuhan virusa	orožje	y	";
"sl	1240548826265632768	namenom zavajanja sveta		n	";
"sl	1240548826265632768	kontejnersko naselje		n	";
"sl	1240568357776232448	maske orožje	orožje	y	";
"sl	1241325326111834113	boju proti širjenju koronavirusa	boj	y	";
"sl	1241436143473889286	boja proti virusu	boj	y	";
"sl	1241436143473889286	Zapora južne meje		n	";
"sl	1241436143473889286	virus širom države		n	";
"sl	1241447626689708037	katastrofo s koronavirusom	katastrofa	y	";
"sl	1241447626689708037	drugo ligo		n	";
"sl	1241656534431600640	borbe proti virusu	borba	y	";
"sl	1241656534431600640	evropska država		n	";
"sl	1241656534431600640	ukinjena svoboda govora		n	";
"sl	1241656534431600640	brezpogojna ljubezen do premierja		n	";
"sl	1241656534431600640	državnih sekretarjev		n	";
"sl	1241656534431600640	borbe za svobodo govora	borba	n	not covid rel";
"sl	1241656534431600640	grožnjo pregona		n	";
"sl	1241756445776973824	boju proti virusu	boj	y	";
"sl	1241756445776973824	višjo plaèo		n	";
"sl	1241756445776973824	interesna podroèja		n	";
"sl	1241756445776973824	notranje zadeve		n	";
"sl	1241788731817897985	epidemija v valovih	val	y	";
"sl	1241788731817897985	nasprotnem primeru		n	";
"sl	1241788731817897985	Dobra novica		n	";
"sl	1241788731817897985	ameriška agencija za zdravila		n	";
"sl	1241788731817897985	uporabo klorokina za olajšanje simptov		n	";
"sl	1241889021443428353	boj proti pravemu virusu	boj	y	";
"sl	1241889021443428353	dedka mraza		n	";
"sl	1242026048528801798	od zmage do zmage	zmaga	n	not relation level";
"sl	1242026048528801798	virusa pete kolone	kolone	y	reverse metaphor";
"sl	1242113924037828610	smrtna žrtev virusa	žrtev	y	";
"sl	1242375507615850499	izbruha epidemije	izbruh	y	";
"sl	1242439608681537537	èetrto žrtev zaradi koronavirusa	žrtev	y	";
"sl	1242441762574123008	skupno obrambo pred virusom	obramba	y	";
"sl	1242441762574123008	propadli premier Marjan	propadel	n	not covid rel";
"sl	1242441762574123008	obstojeèe Vlade Janeza		n	";
"sl	1242441762574123008	levièarskimi radikalci		n	";
"sl	1242441762574123008	potrebna enotnost		n	";
"sl	1242460209131421698	mutacij korona virusa		n	";
"sl	1242709504170622976	borbo proti kitajskemu virusu	borba	y	";
"sl	1242709504170622976	ropanje rdeèkarjev		n	";
"sl	1242709504170622976	vladne organizacije		n	";
"sl	1242709504170622976	Naivno gledanje		n	";
"sl	1242756146705977345	boju proti novemu koronavirusu	boj	y	";
"sl	1242756146705977345	prve uporabe solidarnostne klavzule		n	";
"sl	1242820346258042885	Koronavirus žrtev	žrtev	y	";
"sl	1242820346258042885	konca leta		n	";
"sl	1242828333978734592	boja z epidemijo	boj	y	";
"sl	1242828925232971777	žrtev koronavirusa	žrtev	y	";
"sl	1242831292028329990	boj proti koronavirusu	boj	y	";
"sl	1242831292028329990	Pregled ukrepov		n	";
"sl	1242831292028329990	blaženje posledic krize	blaženje	y	";
"sl	1242859543899627520	izbruh koronavirusa	izbruh	y	";
"sl	1242859543899627520	ljubljanskih župnij med pridigo		n	";
"sl	1242861695799832576	lovljenje miši od doma		n	";
"sl	1243094998943490049	grožnji virusa	grožnja	y	";
"sl	1243094998943490049	regularnosti prvega kroga		n	";
"sl	1243128898440892416	boju proti pandemiji	boj	y	";
"sl	1243128898440892416	Slovenska znanost		n	";
"sl	1243128898440892416	objava s prilogo		n	";
"sl	1243133806778908672	katastrofa z virusom	katastrofa	y	";
"sl	1243134987727187968	izbruhu epidemije	izbruh	y	";
"sl	1243134987727187968	<NUMBER> mask		n	";
"sl	1243134987727187968	kitajsko <NUMBER>		n	";
"sl	1243134987727187968	komentiranje ukrepov trenutne vlade		n	";
"sl	1243176348564283393	vojna proti koronavirusu	vojna	y	";
"sl	1243176348564283393	zmagah v prvih bitkah	bitka	y	not relation level";
"sl	1243223432013193216	žrtev korona virusa	žrtev	y	";
"sl	1243223432013193216	poveèano število osmrtnic		n	";
"sl	1243223432013193216	zadnjem èasu		n	";
"sl	1243242961346924545	boju z virusom	boj	y	";
"sl	1243242961346924545	naporih vlade		n	";
"sl	1243242961346924545	stanje iz dneva v dan		n	";
"sl	1243242961346924545	moèi za normalizacijo		n	";
"sl	1243242961346924545	levim ekstremistom		n	";
"sl	1243405926129782785	vdorom virusa	vdor	y	";
"sl	1243405926129782785	zunanja meja Shengena		n	";
"sl	1243405926129782785	odhod Vojske na mejo		n	";
"sl	1243519148438716417	skriti sovražnik coronavirus	sovražnik	y	";
"sl	1243519148438716417	ilegalni migranti		n	";
"sl	1243519148438716417	Hrvati dokazilo		n	";
"sl	1243586746794868736	virus po mutaciji		n	";
"sl	1243601553442910209	smrtnih žrtev covida	žrtev	y	";
"sl	1243829214681485313	izbruha epidemije	izbruh	y	";
"sl	1243938717171101696	katastrofe v domovih	katastrofa	y	";
"sl	1243938717171101696	azilnih domovih		n	";
"sl	1243938717171101696	Gospod Židan		n	";
"sl	1243938717171101696	skupno varnost		n	";
"sl	1244963497877942272	borbi proti posledicam epidemije	borba	y	";
"sl	1244963497877942272	milijarde evrov		n	";
"sl	1245311851736567809	izbruh okužbe	izbruh	y	";
"sl	1245311851736567809	francoska bolezen		n	";
"sl	1245311851736567809	prvi ital		n	";
"sl	1245311851736567809	francoskimi vojaki		n	";
"sl	1245796427692998658	èasu bitke proti koronavirusu	bitka	y	";
"sl	1245796427692998658	politiènim temam		n	";
"sl	1245796427692998658	madžarskim pristopom k izjavi		n	";
"sl	1245796427692998658	ogrožanju demokracije		n	";
"sl	1246014999581122560	boju proti koronavirusu	boj	y	";
"sl	1246014999581122560	pomoè pri uresnièenju poslanstva zastave		n	";
"sl	1246014999581122560	GRAF d		n	";
"sl	1246082080146145280	boju proti epidemiji korona virusa	boj	y	";
"sl	1246082080146145280	vzor dobre prakse		n	";
"sl	1246082912736481283	Labirinti boja z virusom	labirint,boj	y	";
"sl	1246395393916755968	izbruhu korone virusa	izbruh	y	";
"sl	1246395393916755968	nastavljeni kader		n	";
"sl	1246395393916755968	zadnji dan		n	";
"sl	1246395393916755968	sedanji vladi		n	";
"sl	1246678957585362945	boju s COVID19	boj	y	";
"sl	1246678957585362945	raziskovalnih projektov		n	";
"sl	1246678957585362945	drugi ukrepi EU		n	";
"sl	1246724232500969472	tempirane bombe pri širjenju coronavirusa	tempiran,bomba	y	";
"sl	1246724232500969472	kontrolah policistov		n	";
"sl	1246724232500969472	roke policista na desetine dokumentov		n	";
"sl	1246757910509740032	boj proti korona virusu	boj	y	";
"sl	1246773552872697856	napad po koroni	napad	n	not relation level, not covid rel";
"sl	1246773552872697856	Nesposoben razdiralec	razdiralec	n	not relation level, not covid rel";
"sl	1247082100618076161	boj proti koronavirusu	boj	y	";
"sl	1247082100618076161	Državnemu zboru		n	";
"sl	1247082100618076161	Mahniè besedo virus		n	not syntactically related";
"sl	1247264851619176448	izbruha korone	izbruh	y	";
"sl	1247264851619176448	bližnji datum		n	";
"sl	1247430280983576576	žrtve COVID19	žrtev	y	";
"sl	1247455117814759424	izbruha COVID19	izbruh	y	";
"sl	1247455117814759424	spletnim prodajalcem		n	";
"sl	1247455117814759424	lažnih zdravil		n	";
"sl	1247455117814759424	navijanje cen	navijanje	n	not covid rel";
"sl	1247455117814759424	spletnimi prevarami		n	";
"sl	1247470007812005888	vojnem stanju z virusom	vojen	y	";
"sl	1247470007812005888	nove maske		n	";
"sl	1247470007812005888	Matematika s Krekom		n	";
"sl	1247472642719993856	vojno s korono	vojna	y	";
"sl	1247622031237091329	boju proti COVID	boj	y	";
"sl	1247622031237091329	prvem mestu komedijant		n	";
"sl	1247622031237091329	bivši PV		n	";
"sl	1247622031237091329	današnjemu stanju		n	";
"sl	1247822821407051777	bitko s posledicami pandemije	bitka	y	";
"sl	1247822821407051777	pomoè s posojili iz mehanizma		n	";
"sl	1247822821407051777	temeljno debato o pokojninskem sistemu		n	";
"sl	1247822821407051777	trgu dela		n	";
"sl	1247822821407051777	krizne države		n	";
"sl	1247919997135060992	boju proti pandemiji	boj	y	";
"sl	1247919997135060992	Takojšna podpora partnerskim državam		n	";
"sl	1247919997135060992	podroèju zdravstva		n	";
"sl	1247919997135060992	Pomoè ljudem		n	";
"sl	1247919997135060992	reševanje življenj		n	";
"sl	1247919997135060992	držav èlanic		n	";
"sl	1247979853011394565	žrtev kljub dobremu cepivu	žrtev	y	";
"sl	1247979853011394565	virusna bolezen		n	";
"sl	1247979853011394565	milijonov ljudi		n	";
"sl	1247979853011394565	visoke nalezljivosti	visok	y	";
"sl	1247979853011394565	cepljenje proti ošpicah		n	";
"sl	1248335300776132613	izbruh epidemije antijanšitisa	izbruh	n	reverse metaphor";
"sl	1248568407387189248	Sledenje virusom v odpadnih vodah	sledenje	y	";
"sl	1248568407387189248	razliènih okoljih		n	";
"sl	1248568407387189248	raziskovalnih skupinah		n	";
"sl	1248568407387189248	edinstven vpogled v prisotnost virusov		n	";
"sl	1248568407387189248	odpadnih vodah		n	";
"sl	1248568407387189248	jamskih vodah		n	";
"sl	1248870177460060160	moèi v boju proti Covid19	boj	y	idiomatic: združiti moèi / join forces";
"sl	1248870177460060160	Velika rivala Apple		n	";
"sl	1248870177460060160	okuženo osebo		n	";
"sl	1249356019446185984	najpomembnejša zmaga virusa	zmaga	y	";
"sl	1249356019446185984	kriznih trenutkih		n	";
"sl	1249356019446185984	veèji neenotnosti		n	";
"sl	1249356019446185984	nezaupanju med ljudmi		n	";
"sl	1249356019446185984	javnim organom		n	";
"sl	1249356019446185984	 boj v teh kriznih trenutkih 	boj	y	";
"sl	1249413621773410304	žrtev zaradi koronavirusa	žrtev	y	";
"sl	1249413621773410304	Hitra rast okuženih in žrtev	rast	y	";
"sl	1249413621773410304	eksperiment mehkega ukrepanja	eksperiment, mehek	y	";
"sl	1249598928632283136	boju proti COVID19	boj	y	";
"sl	1249678822724730880	borca NOB iz doma		n	";
"sl	1249678822724730880	enosmerno vstopnico		n	";
"sl	1249678822724730880	Novo Mesto		n	";
"sl	1249757925444329472	borbo z koronavirusom	borba	y	";
"sl	1249757925444329472	konca leta		n	";
"sl	1249988050047905792	izbruhom virusa	izbruh	y	";
"sl	1249988050047905792	upoštevano dejstvo		n	";
"sl	1249988050047905792	slaba trend		n	";
"sl	1249988050047905792	napovedi Banke Slovenije		n	";
"sl	1249988050047905792	napovedan porast brezposelnosti	porast	n	not covid rel";
"sl	1249988050047905792	najboljšem scenariju	scenarij	n	not covid rel";
"sl	1250085013904908288	boju proti COVID19	boj	y	";
"sl	1250085013904908288	evropskih poslancev z novinarji		n	";
"sl	1250085013904908288	naèrtovani ukrepi EU		n	";
"sl	1250085013904908288	spletne povezave		n	";
"sl	1250112276457312256	maske bombe		n	";
"sl	1250112276457312256	Brat po dnevu		n	";
"sl	1250138609061179394	boja proti virusu	boj	y	";
"sl	1250138609061179394	spodbudna beseda		n	";
"sl	1250138609061179394	pohvala na raèun vlade		n	";
"sl	1250275088210878466	boju s koronavirusom	boj	y	";
"sl	1250275088210878466	Janševi vladi		n	";
"sl	1250275088210878466	toèk za ukrepe		n	";
"sl	1250353752462077953	Zmage nad covid19	zmaga	y	";
"sl	1250353752462077953	rep med noge		n	idiomatic,not covid rel";
"sl	1250437537912344576	grožnjo epidemije	grožnja	y	";
"sl	1250437537912344576	Zanimivo branje		n	";
"sl	1250437537912344576	ponujena možnost primerjave		n	";
"sl	1250437537912344576	reakcijskega èasa vlad	reakcijski_èas	y	";
"sl	1250437537912344576	Èasovnica organizacije WHO		n	";
"sl	1250470118766845954	izbruhu virusa	izbruh	y	";
"sl	1250490368623284225	boj z epidemijo Covid	boj	y	";
"sl	1250490368623284225	formalno dejanje		n	";
"sl	1250490368623284225	ekonomskih uèinkih		n	";
"sl	1250490368623284225	Marakeškega sporazuma		n	";
"sl	1250670504844951552	smrtnih žrtev zaradi koronavirusa	žrtev	y	";
"sl	1250670504844951552	oblasti socialisti		n	";
"sl	1250769011819847680	boju proti koronavirusu	boj	y	";
"sl	1250795925938868227	bojem proti virusu	boj	y	";
"sl	1250795925938868227	ukrep omejitve gibanja		n	";
"sl	1250795925938868227	rahljanje ukrepa	rahljanje	y	";
"sl	1250795925938868227	strokovne utemeljitve		n	";
"sl	1250795925938868227	lastnik nepremiènine v obèini		n	";
"sl	1250862669936177159	boju proti COVID19	boj	y	";
"sl	1250862669936177159	celotno resolucijo za odloènejši odziv		n	";
"sl	1250862669936177159	poziv k uvedbi korona obveznic		n	";
"sl	1250862669936177159	zadnje glasovanje		n	";
"sl	1251017562323931136	senci boja z virusom	senca,boj	y	";
"sl	1251074327241465858	boju proti koronavirus	boj	y	";
"sl	1251074327241465858	preostalim inovatorjem		n	";
"sl	1251074327241465858	EUvsVirus hekatonu za iskanje rešitev		n	";
"sl	1251074327241465858	reševanjem izzivov na razliènih podroèjih		n	";
"sl	1251074327241465858	prijava do <NUMBER> <NUMBER>		n	";
"sl	1251438457412628480	wuhan izbruhu	izbruh	y	";
"sl	1251468199457099776	boj proti pandemiji koronavirus	boj	y	";
"sl	1251468199457099776	državam èlanicam		n	";
"sl	1251469963363221517	žrtev koronavirusa	žrtev	y	";
"sl	1251469963363221517	ustavno sodišèe		n	";
"sl	1251754704683634688	glavne bitke z virusom	bitka	y	";
"sl	1251754704683634688	Povpreèna starost v DSO		n	";
"sl	1251754704683634688	zdravstvenih kapacitet		n	";
"sl	1251754704683634688	migracije v upadu	upad	n	not covid rel";
"sl	1251754704683634688	spornim kadrovanjem		n	";
"sl	1251754704683634688	koruptivno nabavo		n	";
"sl	1251767669365379072	boju zoper koronavirus	boj	y	";
"sl	1251767669365379072	osrednjih medijih		n	";
"sl	1251767669365379072	komunistièno varianto pokojninske reforme		n	";
"sl	1252214742065741825	skrivnost boja proti okužbi	skrivnost,boj	y	";
"sl	1252228755159801863	nadaljnih valov epidemije	val	y	";
"sl	1252228755159801863	dizelskih vozil		n	";
"sl	1252228755159801863	ostale vire onesnaženosti zraka		n	";
"sl	1252228755159801863	Ponoven zagon družbe		*	";
"sl	1252228755159801863	do zdravja prijaznimi tehnologijami	prijazen	n	not covid rel";
"sl	1252304807920046084	maskah o vojski		n	";
"sl	1252304807920046084	edini cilj		n	";
"sl	1252304807920046084	anketo med ljudi		n	";
"sl	1252304807920046084	pristransko tv		n	";
"sl	1252355340483493897	strelno orožje v rokah vojakov		n	";
"sl	1252355340483493897	novih tehnologijah		n	";
"sl	1252355340483493897	osebnim orožjem		n	";
"sl	1252355340483493897	strelnim orožjem		n	";
"sl	1252395555285655564	novem valu epidemije	val	y	";
"sl	1252395555285655564	zascite banke		n	";
"sl	1252480966804877314	Prvi val virusa	val	y	";
"sl	1252480966804877314	valove virusa	val	y	";
"sl	1252480966804877314	novih omejitev		n	";
"sl	1252493619296120833	izbruhu korona krize	izbruh	y	";
"sl	1252493619296120833	Srebrna nit		n	";
"sl	1252493619296120833	promotivne namene		n	";
"sl	1252493619296120833	FFP3 masko		n	";
"sl	1252725151793283078	IZBRUHA COVID	izbruh	y	";
"sl	1252725151793283078	Vabilo k sodelovanju		n	";
"sl	1252725151793283078	novega koronavirusa		n	";
"sl	1252725151793283078	zadnjem mesecu		n	";
"sl	1252725151793283078	varnostnih ukrepov za prepreèevanje		n	";
"sl	1253394283639508992	Upor proti virusu	upor	y	";
"sl	1253425594949222400	drugi val epidemije	val	y	";
"sl	1253425594949222400	strankarski vrtièek	vrtièek	n	not covid rel";
"sl	1253425594949222400	tiho krajo države	tih,kraja	n	not covid rel";
"sl	1253425594949222400	pohod v orbanizem	pohod	n	not covid rel";
"sl	1253451596719153153	grožnji s pandemijo	grožnja	y	";
"sl	1253451596719153153	befela za nabavo v zaèetku januarja		n	";
"sl	1253451596719153153	Šarec v nabavo		n	";
"sl	1253478791730663424	novi izbruhi virusa	izbruh	y	";
"sl	1253478791730663424	neprestanih revolucij		n	";
"sl	1253478791730663424	rušenje vlade	rušenje	n	not covid rel";
"sl	1253478791730663424	septembra revolucija		n	";
"sl	1253478791730663424	volitve gospodarstvo		n	";
"sl	1253478791730663424	prejšnje vlade		n	";
"sl	1253703366846361603	zmagi nad epidemijo korone	zmaga	y	";
"sl	1253703366846361603	novo afero		n	";
"sl	1253703366846361603	nujno nabavo zašèitnih sredstev		n	";
"sl	1253703366846361603	zmagovalce s konstruktom afere orožje		n	";
"sl	1253918165073002497	vojnem stanju s koronavirusom	vojen	y	";
"sl	1253918165073002497	tarco predalec		n	";
"sl	1253918165073002497	TEORIJA ZAROTE		n	";
"sl	1254051347663671298	hitrih mutacij virusa		n	";
"sl	1254051347663671298	lažne zgodbe		n	";
"sl	1254051347663671298	èudežnega cepiva	èudežen	y	";
"sl	1254051347663671298	možnost imunosti		n	";
"sl	1254051347663671298	realne možnosti		n	";
"sl	1254051347663671298	bajke tipa Gates	bajka	y	";
"sl	1254098766552010754	izbruhu epidemije	izbruh	y	";
"sl	1254098766552010754	edina država na svetu		n	";
"sl	1254098766552010754	okuženim državljanom		n	";
"sl	1254098766552010754	zdravstveni kader		n	";
"sl	1254098766552010754	težkih razmerah		n	";
"sl	1254165965195096067	postavko boja proti covid19	boj	y	";
"sl	1254165965195096067	gonibicikl proti vladi		n	";
"sl	1254165965195096067	obliko prostovoljstva		n	";
"sl	1254313081003479040	obrambo za kriminal z maskami	obramba	n	not covid rel";
"sl	1254313081003479040	lažnivo samohvalo		n	";
"sl	1254313081003479040	izposojeni denar		n	";
"sl	1254376080770818048	izbruha pandemije	izbruh	y	";
"sl	1254376080770818048	posredni dokaz		n	";
"sl	1254376080770818048	realno možnost		n	";
"sl	1254376080770818048	izvorno lokacijo		n	";
"sl	1254481986141519873	Španski borci Kovid19	borec	y	";
"sl	1254740836463661056	val okužb	val	y	";
"sl	1254740836463661056	dovoljšen ljudi		n	";
"sl	1254740836463661056	oportunitetni stroški ect		n	";
"sl	1254767017355141120	borbi proti epidemiji COVID19	borba	y	";
"sl	1254767017355141120	teorije zarote		n	";
"sl	1255028506897059840	hud val okužb	val	y	";
"sl	1255028506897059840	letošnje sezone		n	";
"sl	1255070724852768768	vala korone	val	y	";
"sl	1255110742971502592	odprtje proizvodnje linije mask		n	";
"sl	1255110742971502592	tedanja vlada		n	";
"sl	1255110742971502592	domaèi proizvod		n	";
"sl	1255469406118961154	Pajki v izolaciji		n	";
"sl	1255987788920631302	èasu vojne z virusom	vojna	y	";
"sl	1256221888528908290	boju proti koronavirusu	boj	y	";
"sl	1256221888528908290	pandemija koronavirusa kriza otrokovih pravic	kriza	n	not covid rel";
"sl	1256221888528908290	podnebna kriza		n	";
"sl	1256221888528908290	otrokovih pravic		n	";
"sl	1256221888528908290	najranljivejše skupine		n	";
"sl	1256221888528908290	podnebna aktivistka		n	";
"sl	1256254417998929923	hujsi val virusa	val	y	";
"sl	1256254417998929923	svetovna kriza		n	";
"sl	1256254417998929923	velika brezposelnost		n	";
"sl	1256706264140255232	rezultati boja proti Covidu	boj	y	";
"sl	1256706264140255232	Kitajski vladi		n	";
"sl	1257232421596147712	junaka v boju proti Covid	boj	y	";
"sl	1257232421596147712	osebnost meseca		n	";
"sl	1257383340623245313	boj proti koronavirusu	boj	y	";
"sl	1257383340623245313	pobudo za ustanovitev preiskovalne komisije		n	";
"sl	1257754426095407105	tretjim valom okužb	val	y	";
"sl	1257754426095407105	Nemški strokovnjak		n	";
"sl	1257754426095407105	novim koronavirusom via		n	";
"sl	1258026497283104769	skupnem boju proti koronavirusu	boj	y	";
"sl	1258026497283104769	predsednik Republike Slovenije		n	";
"sl	1258026497283104769	slovenskih ljudi		n	";
"sl	1258026497283104769	Besedilo sporoèila		n	";
"sl	1258026497283104769	Spoštovana predsednica		n	";
"sl	1258026497283104769	estonski prijatelji		n	";
"sl	1258354631090069504	uspeh v boju z epidemijo	boj	y	";
"sl	1258354631090069504	svetu ljudje		n	";
"sl	1258354631090069504	malo stevilo		n	";
"sl	1258354631090069504	najvecji diktator		n	";
"sl	1258354631090069504	virus fake		n	";
"sl	1258354631090069504	zascitne opreme najvecji kriminalci		n	";
"sl	1258589343205199872	boju proti korona virusu	boj	y	";
"sl	1258670669983817728	možnost izbruha pandemije	izbruh	y	";
"sl	1258670669983817728	strokovna analiza		n	";
"sl	1258691755169497088	vojni proti koronavirusu	vojna	y	";
"sl	1258691755169497088	Ameriška vojska		n	";
"sl	1258818615522066433	mesta žrtve koronavirusa	žrtev	y	";
"sl	1258818615522066433	odgovornost oblasti		n	";
"sl	1258818615522066433	omejitev gibanja		n	";
"sl	1258818615522066433	omejitve gibanja		n	";
"sl	1258854621851848704	izbruha covid	izbruh	y	";
"sl	1258854621851848704	Naslednji teden		n	";
"sl	1258854621851848704	zadnja etapa giro idiotov	etapa	n	";
"sl	1258854621851848704	mesto Ljubljano		n	";
"sl	1258854621851848704	gira idiotov		n	";
"sl	1258854621851848704	hermetièno karanteno		n	";
"sl	1259092764190552064	valu karantene	val	y	";
"sl	1259092764190552064	famozno zico okrog mesta		n	";
"sl	1259421427817746432	boju z virusom	boj	y	";
"sl	1259421427817746432	odlièna taktika	taktika	y	";
"sl	1259442369788891137	drugi val množiènih okužb	val	y	";
"sl	1259442369788891137	krivica krivica		n	";
"sl	1259443511117729797	boju proti epidemiji	boj	y	";
"sl	1259443511117729797	Javnomnenjska raziskava Širša javnost		n	";
"sl	1259443511117729797	mnenja protestnikov		n	";
"sl	1259443511117729797	velike veèine javnosti		n	";
"sl	1259443511117729797	zajezitev novega koronavirusa	zajezitev	y	";
"sl	1259455904904286209	naslednji val okužb	val	y	";
"sl	1259455904904286209	zaprtih prostorih		n	";
"sl	1259455904904286209	žive sile		n	";
"sl	1259590264055836672	vala epidemije	val	y	";
"sl	1259590264055836672	Italjanskim scenarijem	scenarij	y	";
"sl	1259741131920850944	škodo v boju proti epidemiji	škoda,boj	y	";
"sl	1259741131920850944	Policistova kretnja		n	";
"sl	1260459730927079426	žrtvam pandemije	žrtev	y	";
